"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","Copy 1","URL Encoded Address","Crawl Timestamp"
"https://www.wealthsimple.com/en-ca/about/work-with-us","text/html; charset=utf-8","200","OK","Indexable","","Work With Us | Wealthsimple","27","259","Change the financial future of millions — we're looking for talented people who want to move fast, ship often, and have a huge impact.","134","847","","","Change the financial future of millions","39","","0","","","","","","https://www.wealthsimple.com/en-ca/about/work-with-us","","","","","","104790","688","7.924","1","","2121","1062","0","62.650","54","27","0","","","","","","","","fc090964695ae110da9515c56651ce23","0.523","Tue, 17 May 2022 21:39:09 GMT","","","","1.1","Invalid Custom Extraction Configured","https://www.wealthsimple.com/en-ca/about/work-with-us","2022-05-18 01:49:48"
"https://www.wealthsimple.com/en-ca/giveback","text/html; charset=utf-8","200","OK","Indexable","","Wealthsimple Giveback","21","208","Open a Wealthsimple RESP, and you’ll help a child in need get an education, too.","80","514","","","Wealthsimple Giveback","21","","0","","","","","","https://www.wealthsimple.com/en-ca/giveback","","","","","","75531","435","9.653","1","","2111","1055","0","62.240","54","28","0","","","","","","","","25f75427da578a2b1bbeb591a53b4295","0.797","Tue, 17 May 2022 21:40:16 GMT","","","","1.1","Invalid Custom Extraction Configured","https://www.wealthsimple.com/en-ca/giveback","2022-05-18 01:49:48"
"https://www.wealthsimple.com/en-ca/class/investing-master-class","text/html; charset=utf-8","200","OK","Indexable","","Wealthsimple Investing Master Class | Free Investing Course","59","542","Become an expert at investing with our free investing course and personal finance classes.","90","574","","","Investing Master Class","22","","0","","","","","","https://www.wealthsimple.com/en-ca/class/investing-master-class","","","","","","121130","436","5.635","1","","4082","1513","0","89.260","62","37","0","","","","","","","","d4df1c5269126f1756c603f0355dfe29","0.757","Tue, 17 May 2022 21:39:14 GMT","","","","1.1","Invalid Custom Extraction Configured","https://www.wealthsimple.com/en-ca/class/investing-master-class","2022-05-18 01:49:48"
"https://www.wealthsimple.com/en-ca/tool/tax-calculator","text/html; charset=utf-8","200","OK","Indexable","","2021 Income Tax Calculator Canada","33","325","2021 free Canada income tax calculator to quickly estimate your provincial taxes. Get better visibility to your tax bracket, marginal tax rate, average tax rate, payroll tax deductions, tax refunds or taxes owed in 2021.","220","1354","","","2021 Income Tax Calculator Canada","33","","0","","","","","","https://www.wealthsimple.com/en-ca/tool/tax-calculator","","","","","","85827","232","6.875","1","","2130","1058","0","62.420","64","40","0","","","","","","","","4ff30c54146b688149af1f7f2cde4578","0.344","Tue, 17 May 2022 21:38:38 GMT","","","","1.1","Invalid Custom Extraction Configured","https://www.wealthsimple.com/en-ca/tool/tax-calculator","2022-05-18 01:49:50"
"https://www.wealthsimple.com/en-ca/legal/privacy","text/html; charset=utf-8","200","OK","Indexable","","Privacy Policy | Wealthsimple","29","259","Privacy Policy","14","87","","","Privacy Policy","14","","0","","","","","","https://www.wealthsimple.com/en-ca/legal/privacy","","","","","","81584","4318","39.371","1","","2919","1516","0","89.440","71","42","0","","","","","","","","319d6637cbc0309e211d128cc2759479","0.694","Tue, 17 May 2022 21:40:18 GMT","","","","1.1","Invalid Custom Extraction Configured","https://www.wealthsimple.com/en-ca/legal/privacy","2022-05-18 01:49:50"
"https://www.wealthsimple.com/en-ca/product/invest","text/html; charset=utf-8","200","OK","Indexable","","Wealthsimple Invest | Robo Advisor | Automate RRSP, TFSA, RESP investments","74","718","Automate your RRSP, TFSA & RESP investments with Canada’s trusted robo advisor. Start in minutes & grow your wealth on autopilot. No account minimums, no paperwork.","164","1095","","","Wealthsimple Invest","19","","0","","","","","","https://www.wealthsimple.com/en-ca/product/invest","","","","","","225503","2069","7.652","1","","3729","1092","0","64.420","88","50","0","","","","","","","","357ff9f487e6f0b95b7281ef0f5b2f25","0.343","Tue, 17 May 2022 21:39:13 GMT","","","","1.1","Invalid Custom Extraction Configured","https://www.wealthsimple.com/en-ca/product/invest","2022-05-18 01:49:50"
"https://www.wealthsimple.com/en-ca/product/crypto","text/html; charset=utf-8","200","OK","Indexable","","Wealthsimple Crypto | Buy Bitcoin, ETH, SHIB, DOGE & 30+ Cryptocurrencies","73","696","Start investing in crypto the simple way. Buy & sell Bitcoin,  Etheruem, Solana & 30+ other cryptocurrencies on Canada’s first regulated  crypto trading platform. Trade coins and tokens on Wealthsimple Crypto.","209","1309","","","The safe and simple way to trade crypto","39","","0","","","","","","https://www.wealthsimple.com/en-ca/product/crypto","","","","","","130658","935","7.739","1","","2177","1082","0","63.830","145","73","0","","","","","","","","83c5515f98ebdad0559925ef8721fdb3","0.767","Tue, 17 May 2022 21:39:09 GMT","","","","1.1","Invalid Custom Extraction Configured","https://www.wealthsimple.com/en-ca/product/crypto","2022-05-18 01:49:50"
"https://www.wealthsimple.com/en-ca/about/who-we-are","text/html; charset=utf-8","200","OK","Indexable","","Who We Are | Wealthsimple","25","250","We're on a mission to bring smarter financial services to everybody, regardless of age or net worth. Learn more about what we do.","129","825","","","We're building the world's most human financial company.","56","","0","","","","","","https://www.wealthsimple.com/en-ca/about/who-we-are","","","","","","96154","1178","12.536","1","","2891","1062","0","62.650","53","27","0","","","","","","","","59486f035f7b594a5854469cdc67c461","0.408","Tue, 17 May 2022 21:39:09 GMT","","","","1.1","Invalid Custom Extraction Configured","https://www.wealthsimple.com/en-ca/about/who-we-are","2022-05-18 01:49:50"
"https://www.wealthsimple.com/en-ca/legal/terms","text/html; charset=utf-8","200","OK","Indexable","","Terms of Use | Wealthsimple","27","257","Terms of Use","12","86","","","Terms of Use","12","","0","","","","","","https://www.wealthsimple.com/en-ca/legal/terms","","","","","","57793","908","17.233","1","","2924","1517","0","89.500","69","40","0","","","","","","","","c008a00e144bd5d8ca7c7edc298d4669","0.306","Tue, 17 May 2022 21:40:18 GMT","","","","1.1","Invalid Custom Extraction Configured","https://www.wealthsimple.com/en-ca/legal/terms","2022-05-18 01:49:52"
"https://www.wealthsimple.com/en-ca/accessibility/statement","text/html; charset=utf-8","200","OK","Indexable","","Investing on Autopilot | Wealthsimple","37","327","The smart and simple way to invest in Future You. We use a Nobel Prize-winning approach to build you a diversified portfolio of low-fee funds in minutes.","153","966","","","Statement of Commitment","23","","0","","","","","","https://www.wealthsimple.com/en-ca/accessibility/statement","","","","","","51826","149","10.170","1","","1069","1068","0","63.010","54","30","0","","","","","","","","1cc46367d32645dedf005ca3663a706f","0.567","Tue, 17 May 2022 21:40:17 GMT","","","","1.1","Invalid Custom Extraction Configured","https://www.wealthsimple.com/en-ca/accessibility/statement","2022-05-18 01:49:52"
